S_over_K,tau,r,q,v0,theta,kappa,xi,rho,S,price
4.20943829908779,2.20169723561963,0.0297898690474615,0.0530568850314764,0.065395223181282,0.102375509287821,0.847427121909828,0.205230042883882,-0.0676523380246107,100,66.7330154713857
2.67945677476195,2.33420204399852,-0.0129741342937394,0.00972260241866943,0.0484486613186503,0.114640714006531,7.23633320698718,1.28808261042387,-0.463544506666427,100,59.9863808953994
3.69564372614615,1.72916890710639,0.0710800756291485,0.0640773093833556,0.0213999371639807,0.138267299793276,5.13245664352589,0.326821187923527,-0.358290205330502,100,65.6038617270078
0.850235890449967,2.60496812821963,0.0561221132838704,0.0849609950091018,0.162683822615304,0.0377874577833154,0.666599848249476,0.224450946195785,-0.337203829212891,100,8.19941171436693
1.17990964590284,2.62885092026812,0.0387444764047204,0.0445407085758279,0.0267363393238249,0.169785566530437,7.72348068299028,1.61946629686968,-0.859382812802045,100,27.3698962129366
0.868635385268368,0.57186126718996,0.000398134149407137,0.0669151243143948,0.0285418630517789,0.165703862010207,5.81970593334272,1.38877481898154,-0.308270911951341,100,3.45792858118418
3.54372045259374,2.36884907391681,0.0115437284951431,0.0813736865497942,0.124614863100523,0.117068443464546,7.98510427463678,0.485073546155901,-0.67713161396968,100,55.2460835355786
2.90496028736961,1.18099906089973,0.000664663049362905,0.0990821874306655,0.092107752510315,0.0326414615636313,5.79626922990329,0.615140145463369,-0.0181634315038901,100,54.5542213013945
4.42912028687285,1.96668187874869,0.0906305831242635,0.0569915635353941,0.171454214511067,0.0524995005254322,6.52828232063646,0.209199737030634,-0.410972482785819,100,70.5007421626716
2.27348045614031,1.58259755151887,0.0211072684047446,0.010412505215211,0.0942484199779638,0.115421371909953,7.71518673807048,0.736319863164463,-0.808608731922427,100,56.3136168075255
3.22171092778635,2.67182226783181,0.0732559095754282,0.0455446528001029,0.198831397729414,0.0901772922513167,5.77371853657628,0.422344440783524,-0.749403601984836,100,63.1389029083067
3.96703402448119,2.14778628844225,-0.0182116169547954,0.0436359638542414,0.00380750439631349,0.0261317944779722,0.934839257091285,0.221038581864116,-0.154347242729829,100,64.8342075002859
4.10110688594051,0.974433930404839,0.030809360273713,0.0479242194875125,0.0201302536417655,0.124472023299883,2.74245431696085,0.82626731466229,-0.366147209793945,100,71.7789679540771
4.2194554925185,1.62108637620348,0.0281692024996501,0.0457951340434794,0.148490062208339,0.0476132021070504,4.98923804509919,0.689280203402786,-0.405755746204472,100,70.2022650096627
2.27412947794362,1.57353293750158,0.0845626287685139,0.0551559747561605,0.0729117681228849,0.114531416489327,1.57679537897066,0.60098686885378,-0.433332261218608,100,53.620097597294
2.82393297731833,1.1753535452885,0.0639549676106711,0.0492326517571741,0.00176805453531641,0.112427253517026,1.16520565690675,0.51186105885978,-0.598349413473804,100,61.5560957673719
1.65044886093487,1.68672407401623,0.0657558887434761,0.0404479783424338,0.162559324367761,0.158503098747822,6.14347753374286,1.39553590149868,-0.850022117765581,100,42.6447194995281
3.16871313336929,1.65046387499641,0.0268097298902492,0.0924823709263257,0.173145905884389,0.106325097550822,1.02064053474917,0.465874885396344,-0.0523673215380143,100,55.8878416048881
1.97762488037867,2.33335441156729,0.0458924603835495,0.0725411867990623,0.146999176342737,0.143216112114511,6.3583110626246,1.34952776185137,-0.756496797591696,100,42.0986923096935
1.35781269636145,2.92560979291866,0.0996446952325206,0.0116332638045295,0.148030970757988,0.160105819987142,2.16560886492767,0.832738353975205,-0.567610849712679,100,47.5305555416716
4.47883271575547,1.38952290030371,-0.000566630877323396,0.0702789747693874,0.0407616373231743,0.109393135340371,3.35130372083427,0.856282221583412,-0.22428048362339,100,68.3587678735057
4.58738749124467,2.38624818066029,-0.0157422155122741,0.0707366895336178,0.1239697893721,0.198585774616051,6.62503446578733,1.62212058814775,-0.426592867502248,100,62.3423673271066
2.96153903154349,1.08017549772359,0.025268572169214,0.00129498142635902,0.135539500421398,0.070761010994131,6.4392384122571,0.954617221805217,-0.123887500551683,100,67.0105382523625
2.90558362619363,1.11465647642751,0.0447847679432902,0.0417547664669949,0.073325183379948,0.103557973604687,1.2896316415874,0.516820354667417,-0.166843353434394,100,62.7413387435254
4.15150655460092,0.276238970211233,0.0996548429233382,0.0997004491486951,0.139241528946199,0.0252840032720657,1.48104304845374,0.273666575537367,-0.156465091407585,100,73.8485263717335
1.72749288834936,1.62131582613936,0.0274235969658321,0.0339485238877299,0.120392226576668,0.033904641283214,4.06134745699156,0.450601702659456,-0.464275369071268,100,39.688491694924
1.61409820172358,1.13724223336923,0.0292955057607479,0.0543413933834992,0.100167653834462,0.0463450800984859,2.52837802824734,0.484103051505307,-0.804479880322524,100,35.055516351262
4.92284793357801,2.81891657619328,0.0518849164534241,0.0905239609280277,0.125211135166841,0.149918928586942,1.32416314667948,0.393130581000802,-0.432695715335044,100,60.1188135407126
